Trần Minh Vương,0,Tiền vệ,167,67,3/28/1995,https://vpf.vn/wp-content/uploads/2018/12/HAGL_10_TranMinhVuong_VN0001154-150x150.jpg
Nguyễn Tuấn Anh,0,Tiền vệ,175,66,5/16/1995,https://vpf.vn/wp-content/uploads/2018/12/HAGL_11_NguyenTuanAnh_VN0000242-150x150.jpg
Nguyễn Thanh Nhân,0,Hậu vệ,168,65,10/25/2000,https://vpf.vn/wp-content/uploads/2020/01/HAGL_15_NguyenThanhNhan_VN0001160-150x150.jpg
Lê Hữu Phước,0,Tiền vệ,174,62,5/7/2001,https://vpf.vn/wp-content/uploads/2021/03/HAGL_18_LeHuuPhuoc_VN0001166-150x150.jpg
Nguyễn Quốc Việt,0,Tiền đạo,173,68,5/4/2003,https://vpf.vn/wp-content/uploads/2022/02/HAGL_19_NguyenQuocViet-150x150.jpg
Trần Bảo Toàn,0,Tiền đạo,169,63,7/14/2000,https://vpf.vn/wp-content/uploads/2019/02/HAGL_20_TranBaoToan_VN0001159-150x150.jpg
Nguyễn Văn Triệu,0,Tiền vệ,188,73,1/17/2003,https://vpf.vn/wp-content/uploads/2022/02/HAGL_21_NguyenVanTrieu_VN0001163-150x150.jpg
Nguyễn Đức Việt,0,Tiền vệ,174,70,1/1/2004,https://vpf.vn/wp-content/uploads/2022/02/HAGL_24_NguyenDucViet_VN001697-150x150.jpg
Trần Trung Kiên,0,Thủ môn,191,82,2/9/2003,https://vpf.vn/wp-content/uploads/2022/02/HAGL_25_TranTrungKien_VN0000782-150x150.jpg
Phan Đình Vũ Hải,0,Thủ môn,183,81,6/6/1994,https://vpf.vn/wp-content/uploads/2018/12/HAGL_27_PhanDinhVuHai_VN001698-150x150.jpg
Nguyễn Kiên Quyết,0,Tiền vệ,166,63,11/14/1996,https://vpf.vn/wp-content/uploads/2018/12/HAGL_28_NguyenKienQuyet_VN0000279-150x150.jpg
Âu Dương Quân,0,Tiền vệ,181,75,4/30/2000,https://vpf.vn/wp-content/uploads/2019/04/HAGL_29_AuDuongQuan_VN0000809-150x150.jpg
Martin Dzilah,0,Tiền đạo,194,84,10/27/1997,https://vpf.vn/wp-content/uploads/2023/10/HAGL_30_MartinDzilah_GH001699-150x150.jpg
Jairo Rodrigues Peixoto Filho,0,Hậu vệ,190,89,,https://vpf.vn/wp-content/uploads/2023/10/HAGL_33_JairoRodriguesPeixotoFilho_BR001700-150x150.jpg
Jesus Silva Jhon Cley,0,Tiền đạo,180,79,9/3/1994,https://vpf.vn/wp-content/uploads/2023/01/HAGL_7_Jesus-Silva-Jhon-Cley-150x150.jpg
Võ Đình Lâm,0,Tiền vệ,169,68,1/10/2000,https://vpf.vn/wp-content/uploads/2020/01/HAGL_60_VoDinhLam_VN0001157-150x150.jpg
Phan Du Học,0,Hậu vệ,175,68,11/1/2001,https://vpf.vn/wp-content/uploads/2019/04/HAGL_62_PhanDuHoc_VN001702-150x150.jpg
